date,INDPRO,INDPRO Trend,dindprod3,INDPRO Monthly,INDPRO Quarterly,INDPRO Forecast Surprise,INDPRO Forecast Surprise Normalized,INDPRO Forecast Surprise Signal,INDPRO Trend Surprise,INDPRO Trend Surprise Normalized,INDPRO Trend Surprise Signal,INDPRO Combined Surprise Normalized,INDPRO Combined Surprise Signal,CPURNSA Index,CPURNSA Index Trend,CPI SPF Forecast,CPURNSA Index Monthly,CPURNSA Index Quarterly,CPI Forecast Surprise,CPI Forecast Surprise Normalized,CPI Forecast Surprise Signal,CPI Trend Surprise,CPI Trend Surprise Normalized,CPI Trend Surprise Signal,CPI Combined Surprise Normalized,CPI Combined Surprise Signal
1972-06-30,42.5178,0.08913294123315874,0.11472099999999999,0.0351421311941571,0.052657795842889765,-0.062063204157110224,-1.034286904119518,0.0,-0.053990810039001635,-0.6300436616824794,0.0,-0.8321652829009987,0.0,41.7,0.03228589495462697,0.033729,0.02923060580119774,0.02930209189336419,-0.0044269081066358115,-0.13392267304614044,0.0,-0.0030552891534292304,-0.07774010353476239,0.0,-0.10583138829045141,0.0
1972-07-31,42.5004,0.08771582615151163,0.073365,-0.004899845920514401,0.08509465837397134,0.011729658373971344,0.19547543847854215,1.0,-0.09261567207202603,-1.080774989656407,0.0,-0.44264977558893237,0.0,41.9,0.027108540017988902,0.033238,0.059096702616483254,0.038924919811353265,0.005686919811353268,0.17204050415996983,1.0,0.03198816259849435,0.8139206953628737,1.0,0.4929805997614218,1.0
1972-08-31,43.0644,0.09041194863630597,0.073365,0.17139832503187846,0.08509465837397134,0.011729658373971344,0.19547543847854215,1.0,0.08098637639557249,0.9450673752403943,1.0,0.5702714068594682,1.0,42.0,0.029502113399589636,0.033238,0.029018562721762287,0.038924919811353265,0.005686919811353268,0.17204050415996983,1.0,-0.00048355067782734906,-0.012303673358186253,0.0,0.07986841540089179,1.0
1972-09-30,43.3948,0.11124168992499883,0.073365,0.09605282189043085,0.08509465837397134,0.011729658373971344,0.19547543847854215,1.0,-0.015188868034567982,-0.17724590585690964,0.0,0.009114766310816258,1.0,42.1,0.02942984743344157,0.033238,0.028948563641530534,0.038924919811353265,0.005686919811353268,0.17204050415996983,1.0,-0.00048128379191103576,-0.012245993728866096,0.0,0.07989725521555187,1.0
1972-10-31,43.9709,0.10182742457782634,0.10949199999999999,0.17147214174724268,0.15637658878308458,0.04688458878308459,0.781334396796814,1.0,0.06964471716941634,0.8127163232143108,1.0,0.7970253600055623,1.0,42.3,0.03187761727092098,0.034521,0.05852046393906263,0.0385498249297318,0.004028824929731799,0.12187987435651525,1.0,0.02664284666814165,0.6779121564050375,1.0,0.3998960153807764,1.0
1972-11-30,44.4866,0.10817218490382463,0.10949199999999999,0.15018134925228388,0.15637658878308458,0.04688458878308459,0.781334396796814,1.0,0.04200916434845925,0.49022431245622694,1.0,0.6357793546265205,1.0,42.4,0.0342468293788849,0.034521,0.02874057794721052,0.0385498249297318,0.004028824929731799,0.12187987435651525,1.0,-0.0055062514316743805,-0.14010345171629762,0.0,-0.009111788679891188,0.0
1972-12-31,45.0,0.11642441236468426,0.10949199999999999,0.14762390402278336,0.15637658878308458,0.04688458878308459,0.781334396796814,1.0,0.0311994916580991,0.3640812566564747,1.0,0.5727078267266443,1.0,42.5,0.036687642076918436,0.034521,0.028671911889074586,0.0385498249297318,0.004028824929731799,0.12187987435651525,1.0,-0.00801573018784385,-0.20395571856440828,0.0,-0.041037922103946516,0.0
1973-01-31,45.2914,0.11641814426470587,0.088249,0.080534850672622,0.09064322412507275,0.002394224125072758,0.039899884186144895,1.0,-0.035883293592083865,-0.4187387014873915,0.0,-0.18941940865062332,0.0,42.6,0.034074175443032484,0.04136,0.028603573137101268,0.0774468733583169,0.0360868733583169,1.0916988619617027,1.0,-0.005470602305931216,-0.139196379885441,0.0,0.4762512410381309,1.0
1973-02-28,45.9647,0.09714307527076627,0.088249,0.19372479586036362,0.09064322412507275,0.002394224125072758,0.039899884186144895,1.0,0.09658172058959735,1.1270566388595944,1.0,0.5834782615228696,1.0,42.9,0.036503117895349435,0.04136,0.08785826836772137,0.0774468733583169,0.0360868733583169,1.0916988619617027,1.0,0.051355150472371935,1.306702742123282,1.0,1.1992008020424922,1.0
1973-03-31,45.9868,0.10296807152759668,0.088249,0.005784926813881652,0.09064322412507275,0.002394224125072758,0.039899884186144895,1.0,-0.09718314471371503,-1.1340749343270926,0.0,-0.5470875250704739,0.0,43.3,0.03875413357836632,0.04136,0.11780809406405446,0.0774468733583169,0.0360868733583169,1.0916988619617027,1.0,0.07905396048568814,2.0114832882814286,1.0,1.5515910751215656,1.0
1973-04-30,45.9274,0.09575178241207505,0.06835200000000001,-0.015390456762701898,0.023232400536229214,-0.045119599463770796,-0.75192074721701,0.0,-0.11114223917477695,-1.2969700452110724,0.0,-1.0244453962140412,0.0,43.6,0.04592424525075578,0.035383,0.08638338509074206,0.08576913528334185,0.05038613528334185,1.5242796459892085,1.0,0.04045913983998628,1.029459917585119,1.0,1.2768697817871637,1.0
1973-05-31,46.2184,0.08289120398766014,0.06835200000000001,0.0787394463340878,0.023232400536229214,-0.045119599463770796,-0.75192074721701,0.0,-0.004151757653572341,-0.04844877475602598,0.0,-0.40018476098651795,0.0,43.9,0.050636520448970046,0.035383,0.08576633445080306,0.08576913528334185,0.05038613528334185,1.5242796459892085,1.0,0.035129814001833015,0.8938582374745769,1.0,1.2090689417318927,1.0
1973-06-30,46.2516,0.09036716656411237,0.06835200000000001,0.008654080985703416,0.023232400536229214,-0.045119599463770796,-0.75192074721701,0.0,-0.08171308557840895,-0.9535476798367103,0.0,-0.8527342135268601,0.0,44.2,0.05532427900874448,0.035383,0.08515803203381656,0.08576913528334185,0.05038613528334185,1.5242796459892085,1.0,0.029833753025072074,0.7591029629377288,1.0,1.1416913044634687,1.0
1973-07-31,46.4427,0.08802681790179978,0.066644,0.05072335934437033,0.04632591352167359,-0.020318086478326405,-0.33860209195940005,0.0,-0.03730345855742945,-0.43531126141588944,0.0,-0.3869566766876448,0.0,44.3,0.05998771247897916,0.043033999999999996,0.027489712948568057,0.09361551237822074,0.05058151237822075,1.5301901871994383,1.0,-0.032497999530411104,-0.8268932075810931,0.0,0.3516484898091726,1.0
1973-08-31,46.3634,0.0929430744302806,0.066644,-0.020298433506868552,0.04632591352167359,-0.020318086478326405,-0.33860209195940005,0.0,-0.11324150793714916,-1.3214673805343469,0.0,-0.8300347362468734,0.0,45.1,0.057318094321115565,0.043033999999999996,0.23957779469749618,0.09361551237822074,0.05058151237822075,1.5301901871994383,1.0,0.18225970037638062,4.637494936141008,1.0,3.083842561670223,1.0
1973-09-30,46.7782,0.0768040963197103,0.066644,0.11280419433331024,0.04632591352167359,-0.020318086478326405,-0.33860209195940005,0.0,0.036000098013599935,0.42010174614961326,1.0,0.040749827095106606,1.0,45.2,0.07393009504553105,0.043033999999999996,0.026934431232640943,0.09361551237822074,0.05058151237822075,1.5301901871994383,1.0,-0.04699566381289011,-1.1957780710864518,0.0,0.16720605805649325,1.0
1973-10-31,47.0944,0.07816881909567686,0.032126,0.08419934818291441,0.0393023127711396,0.007176312771139601,0.1195936693868713,1.0,0.006030529087237557,0.07037302506225018,1.0,0.09498334722456074,1.0,45.6,0.07375539293280498,0.049583,0.1115190087729434,0.0914759304966608,0.041892930496660805,1.2673435044741812,1.0,0.03776361584013843,0.9608738347937698,1.0,1.1141086696339755,1.0
1973-11-30,47.3422,0.07120783871568004,0.032126,0.06500098937823551,0.0393023127711396,0.007176312771139601,0.1195936693868713,1.0,-0.006206849337444531,-0.07243058737681676,0.0,0.023581541005027268,1.0,45.9,0.07813883453898307,0.049583,0.08186759957358891,0.0914759304966608,0.041892930496660805,1.2673435044741812,1.0,0.003728765034605841,0.09487631621436132,1.0,0.6811099103442713,1.0
1973-12-31,47.2312,0.0643407911654621,0.032126,-0.027775573803452414,0.0393023127711396,0.007176312771139601,0.1195936693868713,1.0,-0.09211636496891451,-1.0749483448010841,0.0,-0.4776773377071064,0.0,46.2,0.08266333919381563,0.049583,0.08131313926426986,0.0914759304966608,0.041892930496660805,1.2673435044741812,1.0,-0.00135019992954577,-0.0343550731352892,0.0,0.616494215669446,1.0
1974-01-31,46.9002,0.049731539964135596,-0.015593999999999998,-0.08093002406048688,-0.03865499787395643,-0.023060997873956435,-0.38431286977355705,0.0,-0.13066156402462248,-1.5247500487539476,0.0,-0.9545314592637524,0.0,46.6,0.08716483855407753,0.059705,0.10898914090111211,0.14589199154900467,0.08618699154900467,2.607325928619593,1.0,0.021824302347034585,0.5553070229467973,1.0,1.5813164757831952,1.0
1974-02-28,46.7547,0.03572091999117544,-0.015593999999999998,-0.0365992947430398,-0.03865499787395643,-0.023060997873956435,-0.38431286977355705,0.0,-0.07232021473421524,-0.8439379381767602,0.0,-0.6141254039751587,0.0,47.2,0.0939914820465586,0.059705,0.16593135912313395,0.14589199154900467,0.08618699154900467,2.607325928619593,1.0,0.07193987707657534,1.8304694617640185,1.0,2.2188976951918056,1.0
1974-03-31,46.768,0.017316752142018776,-0.015593999999999998,0.003418906310530101,-0.03865499787395643,-0.023060997873956435,-0.38431286977355705,0.0,-0.013897845831488675,-0.16218037237901056,0.0,-0.27324662107628384,0.0,47.8,0.10034228460834282,0.059705,0.16367251226312152,0.14589199154900467,0.08618699154900467,2.607325928619593,1.0,0.06333022765477869,1.6114018043878762,1.0,2.1093638665037346,1.0
1974-04-30,46.6012,0.017117315285920753,-0.031618,-0.04196886156180912,0.013461196256451924,0.045079196256451924,0.7512474254189837,1.0,-0.05908617684772988,-0.689503846841166,0.0,0.03087178928890888,1.0,48.0,0.10404620029726064,0.066178,0.051380914658439636,0.10426354145480499,0.038085541454804986,1.1521625010448135,1.0,-0.052665285638821,-1.340038390034043,0.0,-0.09393794449461468,0.0
1974-05-31,46.9779,0.014809183880977628,-0.031618,0.10143275611272173,0.013461196256451924,0.045079196256451924,0.7512474254189837,1.0,0.0866235722317441,1.0108504131995792,1.0,0.8810489193092814,1.0,48.6,0.10104499420134072,0.066178,0.1607545177229981,0.10426354145480499,0.038085541454804986,1.1521625010448135,1.0,0.05970952352165737,1.5192750366606154,1.0,1.3357187688527143,1.0
1974-06-30,46.9246,0.016581703651846302,-0.031618,-0.013530273689717487,0.013461196256451924,0.045079196256451924,0.7512474254189837,1.0,-0.03011197734156379,-0.3513905505598804,0.0,0.19992843742955166,1.0,49.0,0.10719833252809918,0.066178,0.10336125434125165,0.10426354145480499,0.038085541454804986,1.1521625010448135,1.0,-0.003837078186847531,-0.09763228307923061,0.0,0.5272651089827914,1.0
1974-07-31,46.9465,0.014702248831835796,0.03265,0.005614872105915936,-0.03467694142124145,-0.06732694142124145,-1.122007391531593,0.0,-0.00908737672591986,-0.1060447899068521,0.0,-0.6140260907192225,0.0,49.4,0.10873270620122955,0.066788,0.10247925628295174,0.13714997787434435,0.07036197787434435,2.1285881547034324,1.0,-0.006253449918277809,-0.15911549437169462,0.0,0.9847363301658689,1.0
1974-08-31,46.4902,0.010994067716474598,0.03265,-0.1105975208705754,-0.03467694142124145,-0.06732694142124145,-1.122007391531593,0.0,-0.12159158858704999,-1.4189083225059005,0.0,-1.2704578570187466,0.0,50.0,0.11523652796920736,0.066788,0.15589042166641343,0.13714997787434435,0.07036197787434435,2.1285881547034324,1.0,0.04065389369720607,1.034415319271754,1.0,1.5815017369875932,1.0
1974-09-30,46.5124,0.0029308909840812802,0.03265,0.005745313575069355,-0.03467694142124145,-0.06732694142124145,-1.122007391531593,0.0,0.002814422590988075,0.032842795162122865,1.0,-0.544582298184735,0.0,50.6,0.10871938364479683,0.066788,0.15389462418258604,0.13714997787434435,0.07036197787434435,2.1285881547034324,1.0,0.04517524053778921,1.1494584310207663,1.0,1.6390232928620994,1.0
1974-10-31,46.3395,-0.005528174417805509,0.015968,-0.04370666282777713,-0.25333962008983735,-0.26930762008983733,-4.488027139775094,0.0,-0.03817848840997162,-0.4455223883091311,0.0,-2.4667747640421127,0.0,51.1,0.11952070687859417,0.080939,0.1252385425422382,0.1067954472794923,0.02585644727949231,0.7822083611710009,1.0,0.005717835663644033,0.1454870927642103,1.0,0.46384772696760557,1.0
1974-11-30,44.8159,-0.01590198678040855,0.015968,-0.33047107007681564,-0.25333962008983735,-0.26930762008983733,-4.488027139775094,0.0,-0.3145690832964071,-3.6708517051142584,0.0,-4.079439422444676,0.0,51.5,0.12066562031573236,0.080939,0.0980849691989989,0.1067954472794923,0.02585644727949231,0.7822083611710009,1.0,-0.022580651116733463,-0.5745518893774544,0.0,0.10382823589677326,1.0
1974-12-31,43.2364,-0.05283552174543371,0.015968,-0.3498570708742489,-0.25333962008983735,-0.26930762008983733,-4.488027139775094,0.0,-0.2970215491288152,-3.466081436387754,0.0,-3.9770542880814244,0.0,51.9,0.12205271638465454,0.080939,0.09729031418795175,0.1067954472794923,0.02585644727949231,0.7822083611710009,1.0,-0.024762402196702782,-0.6300653109642546,0.0,0.07607152510337317,1.0
1975-01-31,42.6437,-0.08366826755200751,-0.063471,-0.15264725566026738,-0.1744586862891523,-0.11098768628915229,-1.8496162421263647,0.0,-0.06897898810825986,-0.8049476237805281,0.0,-1.3272819329534464,0.0,52.1,0.12342158346448917,0.09020099999999999,0.047235571303304136,0.0630973350130688,-0.02710366498693119,-0.8199391487155445,0.0,-0.07618601216118503,-1.9385099661233682,0.0,-1.3792245574194564,0.0
1975-02-28,41.6572,-0.08983371753043623,-0.063471,-0.24486890954962603,-0.1744586862891523,-0.11098768628915229,-1.8496162421263647,0.0,-0.1550351920191898,-1.8091771543871222,0.0,-1.8293966982567436,0.0,52.5,0.11808790134477598,0.09020099999999999,0.09612216864887668,0.0630973350130688,-0.02710366498693119,-0.8199391487155445,0.0,-0.021965732695899298,-0.5589056381388684,0.0,-0.6894223934272065,0.0
1975-03-31,41.213,-0.1080399433046133,-0.063471,-0.1207146353509343,-0.1744586862891523,-0.11098768628915229,-1.8496162421263647,0.0,-0.01267469204632099,-0.14790682676909767,0.0,-0.9987615344477312,0.0,52.7,0.11234346835229503,0.09020099999999999,0.046684376568063346,0.0630973350130688,-0.02710366498693119,-0.8199391487155445,0.0,-0.06565909178423168,-1.6706584342681823,0.0,-1.2452987914918634,0.0
1975-04-30,41.2483,-0.11784853804114215,0.0,0.010326868763492092,0.020400271492150734,0.020400271492150734,0.3399717099910151,1.0,0.12817540680463424,1.4957379335945675,1.0,0.9178548217927913,1.0,52.9,0.10256807473346785,0.084023,0.04650349207097082,0.07008111083314827,-0.013941889166851726,-0.42176955553674766,0.0,-0.05606458266249703,-1.426531579154745,0.0,-0.9241505673457464,0.0
1975-05-31,41.153999999999996,-0.11389765099117044,0.0,-0.02709152384345559,0.020400271492150734,0.020400271492150734,0.3399717099910151,1.0,0.08680612714771485,1.0129807307042298,1.0,0.6764762203476224,1.0,53.2,0.10214268952575534,0.084023,0.07021620605971268,0.07008111083314827,-0.013941889166851726,-0.42176955553674766,0.0,-0.031926483466042654,-0.812351304741581,0.0,-0.6170604301391643,0.0
1975-06-30,41.4216,-0.12313484098057204,0.0,0.08088081036365957,0.020400271492150734,0.020400271492150734,0.3399717099910151,1.0,0.2040156513442316,2.380752722928263,1.0,1.360362216459639,1.0,53.6,0.09470013032768887,0.084023,0.09405180951136738,0.07008111083314827,-0.013941889166851726,-0.42176955553674766,0.0,-0.0006483208163214904,-0.016496156289497254,0.0,-0.21913285591312245,0.0
1975-07-31,41.8198,-0.11634049548180925,0.036863,0.1216593285150025,0.13728375508603663,0.10042075508603662,1.673517719522737,1.0,0.23799982399681174,2.7773297063410696,1.0,2.2254237129319034,1.0,54.2,0.09392718298860792,0.059934,0.14291507781309587,0.07674140083354475,0.016807400833544747,0.5084569167388447,1.0,0.048987894824487954,1.2464692617820852,1.0,0.8774630892604649,1.0
1975-08-31,42.2548,-0.10813956881881759,0.036863,0.13221573783769602,0.13728375508603663,0.10042075508603662,1.673517719522737,1.0,0.2403553066565136,2.804816919792324,1.0,2.2391673196575304,1.0,54.3,0.09722244876190844,0.059934,0.022366279033746883,0.07674140083354475,0.016807400833544747,0.5084569167388447,1.0,-0.07485616972816156,-1.904672877966874,0.0,-0.6981079806140147,0.0
1975-09-30,42.7754,-0.08985252950400235,0.036863,0.1582874407674706,0.13728375508603663,0.10042075508603662,1.673517719522737,1.0,0.24813997027147294,2.8956597496256293,1.0,2.284588734574183,1.0,54.6,0.086059697505247,0.059934,0.06835049948021155,0.07674140083354475,0.016807400833544747,0.5084569167388447,1.0,-0.017709198025035455,-0.4506005221923604,0.0,0.028928197273242168,1.0
1975-10-31,42.97,-0.07892914566105458,0.073365,0.05597902410465738,0.07896230763156797,0.005597307631567974,0.09327945697105543,1.0,0.13490816976571196,1.5743056495849983,1.0,0.8337925532780268,1.0,54.9,0.07909607409307418,0.061352000000000004,0.0679635269676595,0.06758229235449331,0.006230292354493308,0.18847859180134494,1.0,-0.011132547125414671,-0.2832613617483601,0.0,-0.047391384973507575,0.0
