,date,realtime_end,realtime_start,value
14,1971-02-01,2018-04-12,2018-04-12,38.5692
15,1971-03-01,2018-04-12,2018-04-12,38.5274
16,1971-04-01,2018-04-12,2018-04-12,38.7438
17,1971-05-01,2018-04-12,2018-04-12,38.9404
18,1971-06-01,2018-04-12,2018-04-12,39.1037
19,1971-07-01,2018-04-12,2018-04-12,38.9902
20,1971-08-01,2018-04-12,2018-04-12,38.7639
21,1971-09-01,2018-04-12,2018-04-12,39.3939
22,1971-10-01,2018-04-12,2018-04-12,39.6888
23,1971-11-01,2018-04-12,2018-04-12,39.8572
24,1971-12-01,2018-04-12,2018-04-12,40.3174
25,1972-01-01,2018-04-12,2018-04-12,41.2866
26,1972-02-01,2018-04-12,2018-04-12,41.68
27,1972-03-01,2018-04-12,2018-04-12,41.9758
28,1972-04-01,2018-04-12,2018-04-12,42.4207
29,1972-05-01,2018-04-12,2018-04-12,42.3956
30,1972-06-01,2018-04-12,2018-04-12,42.5178
31,1972-07-01,2018-04-12,2018-04-12,42.5004
32,1972-08-01,2018-04-12,2018-04-12,43.0644
33,1972-09-01,2018-04-12,2018-04-12,43.3948
34,1972-10-01,2018-04-12,2018-04-12,43.9709
35,1972-11-01,2018-04-12,2018-04-12,44.4866
36,1972-12-01,2018-04-12,2018-04-12,45.0
37,1973-01-01,2018-04-12,2018-04-12,45.2914
38,1973-02-01,2018-04-12,2018-04-12,45.9647
39,1973-03-01,2018-04-12,2018-04-12,45.9868
40,1973-04-01,2018-04-12,2018-04-12,45.9274
41,1973-05-01,2018-04-12,2018-04-12,46.2184
42,1973-06-01,2018-04-12,2018-04-12,46.2516
43,1973-07-01,2018-04-12,2018-04-12,46.4427
44,1973-08-01,2018-04-12,2018-04-12,46.3634
45,1973-09-01,2018-04-12,2018-04-12,46.7782
46,1973-10-01,2018-04-12,2018-04-12,47.0944
47,1973-11-01,2018-04-12,2018-04-12,47.3422
48,1973-12-01,2018-04-12,2018-04-12,47.2312
49,1974-01-01,2018-04-12,2018-04-12,46.9002
50,1974-02-01,2018-04-12,2018-04-12,46.7547
51,1974-03-01,2018-04-12,2018-04-12,46.768
52,1974-04-01,2018-04-12,2018-04-12,46.6012
53,1974-05-01,2018-04-12,2018-04-12,46.9779
54,1974-06-01,2018-04-12,2018-04-12,46.9246
55,1974-07-01,2018-04-12,2018-04-12,46.9465
56,1974-08-01,2018-04-12,2018-04-12,46.4902
57,1974-09-01,2018-04-12,2018-04-12,46.5124
58,1974-10-01,2018-04-12,2018-04-12,46.3395
59,1974-11-01,2018-04-12,2018-04-12,44.8159
60,1974-12-01,2018-04-12,2018-04-12,43.2364
61,1975-01-01,2018-04-12,2018-04-12,42.6437
62,1975-02-01,2018-04-12,2018-04-12,41.6572
63,1975-03-01,2018-04-12,2018-04-12,41.213
64,1975-04-01,2018-04-12,2018-04-12,41.2483
65,1975-05-01,2018-04-12,2018-04-12,41.154
66,1975-06-01,2018-04-12,2018-04-12,41.4216
67,1975-07-01,2018-04-12,2018-04-12,41.8198
68,1975-08-01,2018-04-12,2018-04-12,42.2548
69,1975-09-01,2018-04-12,2018-04-12,42.7754
70,1975-10-01,2018-04-12,2018-04-12,42.97
71,1975-11-01,2018-04-12,2018-04-12,43.0627
72,1975-12-01,2018-04-12,2018-04-12,43.5959
73,1976-01-01,2018-04-12,2018-04-12,44.2338
74,1976-02-01,2018-04-12,2018-04-12,44.6687
75,1976-03-01,2018-04-12,2018-04-12,44.7103
76,1976-04-01,2018-04-12,2018-04-12,44.9525
77,1976-05-01,2018-04-12,2018-04-12,45.1731
78,1976-06-01,2018-04-12,2018-04-12,45.1831
79,1976-07-01,2018-04-12,2018-04-12,45.4519
80,1976-08-01,2018-04-12,2018-04-12,45.7737
81,1976-09-01,2018-04-12,2018-04-12,45.9055
82,1976-10-01,2018-04-12,2018-04-12,45.922
83,1976-11-01,2018-04-12,2018-04-12,46.6016
84,1976-12-01,2018-04-12,2018-04-12,47.0857
85,1977-01-01,2018-04-12,2018-04-12,46.8261
86,1977-02-01,2018-04-12,2018-04-12,47.5387
87,1977-03-01,2018-04-12,2018-04-12,48.1302
88,1977-04-01,2018-04-12,2018-04-12,48.578
89,1977-05-01,2018-04-12,2018-04-12,48.9881
90,1977-06-01,2018-04-12,2018-04-12,49.3428
91,1977-07-01,2018-04-12,2018-04-12,49.4131
92,1977-08-01,2018-04-12,2018-04-12,49.4274
